model,layer,direction,mult,c,gold_lp,gold_lp_sem
GradDiff,8,random,-2.0,-1.1854912042617798,-0.38892813213402405,0.020467436379828206
GradDiff,8,random,-1.0,-0.5927456021308899,-0.35078614332014696,0.02085675128315673
GradDiff,8,random,-0.5,-0.29637280106544495,-0.3451028825365938,0.021343774384683094
GradDiff,8,random,0.5,0.29637280106544495,-0.35205455094459465,0.022509535010487927
GradDiff,8,random,1.0,0.5927456021308899,-0.36447130046784876,0.023131857834680455
GradDiff,8,random,2.0,1.1854912042617798,-0.41775257034343666,0.02423579192430665
GradDiff,8,random,4.0,2.3709824085235596,-0.7654966089408844,0.03002466337962397
GradDiff,12,undo,-4.0,-5.051523685455322,-3.0187785345315934,0.064489325220226
GradDiff,12,undo,-2.0,-2.525761842727661,-0.833536895387224,0.036951538765562966
GradDiff,12,undo,-1.0,-1.2628809213638306,-0.5020214306957496,0.028859984361101036
GradDiff,12,undo,-0.5,-0.6314404606819153,-0.4080021419766126,0.02531903505071374
GradDiff,12,undo,0.5,0.6314404606819153,-0.3108765096217394,0.019061450706560158
GradDiff,12,undo,1.0,1.2628809213638306,-0.2981472064508125,0.017063666691401334
GradDiff,12,undo,2.0,2.525761842727661,-0.32519518638961015,0.015156143224343088
GradDiff,12,undo,4.0,5.051523685455322,-0.6651878765970468,0.019991989932034132
GradDiff,12,epistemic,-4.0,-15.36025631094379,-3.341502021551132,0.04611665901759925
GradDiff,12,epistemic,-2.0,-7.680128155471895,-0.9788100966066122,0.026442653057602232
GradDiff,12,epistemic,-1.0,-3.8400640777359474,-0.42809422079473736,0.017974393374232678
GradDiff,12,epistemic,-0.5,-1.9200320388679737,-0.3367449932498857,0.018702317390931
GradDiff,12,epistemic,0.0,0.0,-0.34581460045883433,0.021897870542795156
GradDiff,12,epistemic,0.5,1.9200320388679737,-0.449086474229116,0.02527340707221635
GradDiff,12,epistemic,1.0,3.8400640777359474,-0.7050511334463954,0.028888899159393622
GradDiff,12,epistemic,2.0,7.680128155471895,-2.0569488763809205,0.04472300252366697
GradDiff,12,epistemic,4.0,15.36025631094379,-6.629804610013962,0.06531608819597574
GradDiff,12,content,-4.0,-4.656133651733398,-0.6495392803754657,0.022273176834660135
GradDiff,12,content,-2.0,-2.328066825866699,-0.380654284118209,0.020044986732758223
